grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks,created_at,updated_at
238,GRN202512210238,237,3,2025-12-21,INV-202512020237-01,2025-12-20,DC-202512020237-01,12,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202512020237,2025-12-21 09:50:00,2025-12-21 10:50:00
239,GRN202512240239,98,19,2025-12-24,INV-202512060098-01,2025-12-22,DC-202512060098-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202512060098,2025-12-24 09:55:00,2025-12-24 10:55:00
240,GRN202512260240,98,19,2025-12-26,INV-202512060098-02,2025-12-24,DC-202512060098-02,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202512060098,2025-12-26 09:00:00,2025-12-26 10:00:00
241,GRN202512200241,238,19,2025-12-20,INV-202512060238-01,2025-12-18,DC-202512060238-01,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202512060238,2025-12-20 09:05:00,2025-12-20 10:05:00
242,GRN202512220242,238,19,2025-12-22,INV-202512060238-02,2025-12-20,DC-202512060238-02,7,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202512060238,2025-12-22 09:10:00,2025-12-22 10:10:00
243,GRN202601010243,99,30,2026-01-01,INV-202512080099-01,2025-12-29,DC-202512080099-01,7,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202512080099,2026-01-01 09:15:00,2026-01-01 10:15:00
244,GRN202512250244,239,29,2025-12-25,INV-202512080239-01,2025-12-22,DC-202512080239-01,8,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202512080239,2025-12-25 09:20:00,2025-12-25 10:20:00
245,GRN202601030245,292,29,2026-01-03,INV-202512180292-01,2026-01-03,DC-202512180292-01,9,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202512180292,2026-01-03 09:25:00,2026-01-03 10:25:00
246,GRN202601050246,292,29,2026-01-05,INV-202512180292-02,2026-01-05,DC-202512180292-02,11,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202512180292,2026-01-05 09:30:00,2026-01-05 10:30:00
247,GRN202512310247,101,34,2025-12-31,INV-202512190101-01,2025-12-30,DC-202512190101-01,11,Packaging Store,No,Received,Received receipt for Packaging Materials against PO202512190101,2025-12-31 09:35:00,2025-12-31 10:35:00
248,GRN202601050248,241,34,2026-01-05,INV-202512190241-01,2026-01-04,DC-202512190241-01,12,Packaging Store,No,Received,Received receipt for Packaging Materials against PO202512190241,2026-01-05 09:40:00,2026-01-05 10:40:00
249,GRN202601090249,100,4,2026-01-09,INV-202512200100-01,2026-01-09,DC-202512200100-01,13,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202512200100,2026-01-09 09:45:00,2026-01-09 10:45:00
250,GRN202601110250,100,4,2026-01-11,INV-202512200100-02,2026-01-11,DC-202512200100-02,4,Electrical Store,Yes,Closed,Closed receipt for Core Components against PO202512200100,2026-01-11 09:50:00,2026-01-11 10:50:00
251,GRN202601070251,102,30,2026-01-07,INV-202512220102-01,2026-01-05,DC-202512220102-01,4,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202512220102,2026-01-07 09:55:00,2026-01-07 10:55:00
252,GRN202601090252,102,30,2026-01-09,INV-202512220102-02,2026-01-07,DC-202512220102-02,7,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202512220102,2026-01-09 09:00:00,2026-01-09 10:00:00
253,GRN202601090253,242,29,2026-01-09,INV-202512220242-01,2026-01-07,DC-202512220242-01,7,Mechanical Store,No,Partially Accepted,Partially Accepted receipt for Fasteners against PO202512220242,2026-01-09 09:05:00,2026-01-09 10:05:00
254,GRN202601110254,242,29,2026-01-11,INV-202512220242-02,2026-01-09,DC-202512220242-02,9,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202512220242,2026-01-11 09:10:00,2026-01-11 10:10:00
255,GRN202601060255,103,28,2026-01-06,INV-202512230103-01,2026-01-03,DC-202512230103-01,9,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202512230103,2026-01-06 09:15:00,2026-01-06 10:15:00
256,GRN202601150256,243,30,2026-01-15,INV-202512230243-01,2026-01-12,DC-202512230243-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202512230243,2026-01-15 09:20:00,2026-01-15 10:20:00
257,GRN202601130257,244,22,2026-01-13,INV-202512260244-01,2026-01-13,DC-202512260244-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202512260244,2026-01-13 09:25:00,2026-01-13 10:25:00
258,GRN202601100258,244,22,2026-01-10,INV-202512260244-02,2026-01-10,DC-202512260244-02,13,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202512260244,2026-01-10 09:30:00,2026-01-10 10:30:00
259,GRN202601270259,106,7,2026-01-27,INV-202512290106-01,2026-01-25,DC-202512290106-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202512290106,2026-01-27 09:35:00,2026-01-27 10:35:00
260,GRN202601290260,106,7,2026-01-29,INV-202512290106-02,2026-01-27,DC-202512290106-02,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202512290106,2026-01-29 09:40:00,2026-01-29 10:40:00
261,GRN202601290261,246,9,2026-01-29,INV-202512290246-01,2026-01-27,DC-202512290246-01,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202512290246,2026-01-29 09:45:00,2026-01-29 10:45:00
262,GRN202601310262,246,9,2026-01-31,INV-202512290246-02,2026-01-29,DC-202512290246-02,7,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202512290246,2026-01-31 09:50:00,2026-01-31 10:50:00
263,GRN202601160263,293,32,2026-01-16,INV-202512290293-01,2026-01-15,DC-202512290293-01,7,Consumables Store,No,Accepted,Accepted receipt for Consumables against PO202512290293,2026-01-16 09:55:00,2026-01-16 10:55:00
264,GRN202601180264,107,29,2026-01-18,INV-202512310107-01,2026-01-15,DC-202512310107-01,8,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202512310107,2026-01-18 09:00:00,2026-01-18 10:00:00
265,GRN202601130265,247,28,2026-01-13,INV-202512310247-01,2026-01-10,DC-202512310247-01,9,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202512310247,2026-01-13 09:05:00,2026-01-13 10:05:00
266,GRN202601280266,108,24,2026-01-28,INV-202601030108-01,2026-01-28,DC-202601030108-01,10,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202601030108,2026-01-28 09:10:00,2026-01-28 10:10:00
267,GRN202601300267,108,24,2026-01-30,INV-202601030108-02,2026-01-30,DC-202601030108-02,12,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202601030108,2026-01-30 09:15:00,2026-01-30 10:15:00
268,GRN202601230268,249,18,2026-01-23,INV-202601050249-01,2026-01-22,DC-202601050249-01,12,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202601050249,2026-01-23 09:20:00,2026-01-23 10:20:00
269,GRN202601210269,111,30,2026-01-21,INV-202601060111-01,2026-01-18,DC-202601060111-01,13,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202601060111,2026-01-21 09:25:00,2026-01-21 10:25:00
270,GRN202601230270,251,29,2026-01-23,INV-202601060251-01,2026-01-20,DC-202601060251-01,3,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202601060251,2026-01-23 09:30:00,2026-01-23 10:30:00
271,GRN202601170271,110,19,2026-01-17,INV-202601080110-01,2026-01-15,DC-202601080110-01,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601080110,2026-01-17 09:35:00,2026-01-17 10:35:00
272,GRN202601190272,110,19,2026-01-19,INV-202601080110-02,2026-01-17,DC-202601080110-02,7,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601080110,2026-01-19 09:40:00,2026-01-19 10:40:00
273,GRN202601220273,250,19,2026-01-22,INV-202601080250-01,2026-01-20,DC-202601080250-01,7,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601080250,2026-01-22 09:45:00,2026-01-22 10:45:00
274,GRN202601240274,250,19,2026-01-24,INV-202601080250-02,2026-01-22,DC-202601080250-02,9,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601080250,2026-01-24 09:50:00,2026-01-24 10:50:00
275,GRN202601300275,252,11,2026-01-30,INV-202601080252-01,2026-01-30,DC-202601080252-01,9,Mechanical Store,No,Closed,Closed receipt for Sealing Components against PO202601080252,2026-01-30 09:55:00,2026-01-30 10:55:00
276,GRN202602010276,252,11,2026-02-01,INV-202601080252-02,2026-02-01,DC-202601080252-02,11,Mechanical Store,Yes,Accepted,Accepted receipt for Sealing Components against PO202601080252,2026-02-01 09:00:00,2026-02-01 10:00:00
277,GRN202601290277,113,23,2026-01-29,INV-202601090113-01,2026-01-28,DC-202601090113-01,11,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202601090113,2026-01-29 09:05:00,2026-01-29 10:05:00
278,GRN202602080278,116,10,2026-02-08,INV-202601160116-01,2026-02-08,DC-202601160116-01,12,Mechanical Store,Yes,Accepted,Accepted receipt for Mechanical Components against PO202601160116,2026-02-08 09:10:00,2026-02-08 10:10:00
279,GRN202602100279,116,10,2026-02-10,INV-202601160116-02,2026-02-10,DC-202601160116-02,3,Mechanical Store,Yes,Accepted,Accepted receipt for Mechanical Components against PO202601160116,2026-02-10 09:15:00,2026-02-10 10:15:00
280,GRN202602050280,114,19,2026-02-05,INV-202601190114-01,2026-02-03,DC-202601190114-01,3,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601190114,2026-02-05 09:20:00,2026-02-05 10:20:00
281,GRN202602020281,114,19,2026-02-02,INV-202601190114-02,2026-01-31,DC-202601190114-02,6,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601190114,2026-02-02 09:25:00,2026-02-02 10:25:00
282,GRN202602010282,254,19,2026-02-01,INV-202601190254-01,2026-01-30,DC-202601190254-01,6,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202601190254,2026-02-01 09:30:00,2026-02-01 10:30:00
283,GRN202601290283,254,19,2026-01-29,INV-202601190254-02,2026-01-27,DC-202601190254-02,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202601190254,2026-01-29 09:35:00,2026-01-29 10:35:00
284,GRN202602150284,115,4,2026-02-15,INV-202601200115-01,2026-02-12,DC-202601200115-01,8,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202601200115,2026-02-15 09:40:00,2026-02-15 10:40:00
285,GRN202602160285,255,6,2026-02-16,INV-202601200255-01,2026-02-13,DC-202601200255-01,9,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202601200255,2026-02-16 09:45:00,2026-02-16 10:45:00
286,GRN202602120286,117,11,2026-02-12,INV-202601210117-01,2026-02-11,DC-202601210117-01,10,QA Hold Area,Yes,Rejected,Rejected receipt for Sealing Components against PO202601210117,2026-02-12 09:50:00,2026-02-12 10:50:00
287,GRN202602080287,257,11,2026-02-08,INV-202601210257-01,2026-02-07,DC-202601210257-01,11,Mechanical Store,No,Received,Received receipt for Sealing Components against PO202601210257,2026-02-08 09:55:00,2026-02-08 10:55:00
288,GRN202602070288,118,35,2026-02-07,INV-202601230118-01,2026-02-05,DC-202601230118-01,12,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Packaging Materials against PO202601230118,2026-02-07 09:00:00,2026-02-07 10:00:00
289,GRN202602090289,118,35,2026-02-09,INV-202601230118-02,2026-02-07,DC-202601230118-02,3,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202601230118,2026-02-09 09:05:00,2026-02-09 10:05:00
290,GRN202602120290,258,35,2026-02-12,INV-202601230258-01,2026-02-10,DC-202601230258-01,3,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202601230258,2026-02-12 09:10:00,2026-02-12 10:10:00
291,GRN202602140291,258,35,2026-02-14,INV-202601230258-02,2026-02-12,DC-202601230258-02,6,Packaging Store,Yes,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202601230258,2026-02-14 09:15:00,2026-02-14 10:15:00
292,GRN202602070292,119,20,2026-02-07,INV-202601240119-01,2026-02-04,DC-202601240119-01,6,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202601240119,2026-02-07 09:20:00,2026-02-07 10:20:00
293,GRN202602120293,259,20,2026-02-12,INV-202601240259-01,2026-02-09,DC-202601240259-01,7,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202601240259,2026-02-12 09:25:00,2026-02-12 10:25:00
294,GRN202602190294,260,26,2026-02-19,INV-202601280260-01,2026-02-19,DC-202601280260-01,8,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202601280260,2026-02-19 09:30:00,2026-02-19 10:30:00
295,GRN202602210295,260,26,2026-02-21,INV-202601280260-02,2026-02-21,DC-202601280260-02,10,Electrical Store,Yes,Closed,Closed receipt for Insulation Materials against PO202601280260,2026-02-21 09:35:00,2026-02-21 10:35:00
296,GRN202602100296,121,28,2026-02-10,INV-202601290121-01,2026-02-09,DC-202601290121-01,10,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Fasteners against PO202601290121,2026-02-10 09:40:00,2026-02-10 10:40:00
297,GRN202602190297,261,30,2026-02-19,INV-202601290261-01,2026-02-18,DC-202601290261-01,11,QA Hold Area,Yes,Rejected,Rejected receipt for Fasteners against PO202601290261,2026-02-19 09:45:00,2026-02-19 10:45:00
298,GRN202602230298,122,5,2026-02-23,INV-202601300122-01,2026-02-21,DC-202601300122-01,12,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202601300122,2026-02-23 09:50:00,2026-02-23 10:50:00
299,GRN202602250299,122,5,2026-02-25,INV-202601300122-02,2026-02-23,DC-202601300122-02,3,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Core Components against PO202601300122,2026-02-25 09:55:00,2026-02-25 10:55:00
300,GRN202602210300,262,4,2026-02-21,INV-202601300262-01,2026-02-19,DC-202601300262-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Core Components against PO202601300262,2026-02-21 09:00:00,2026-02-21 10:00:00
